IdCliente;Edad;Actividad Laboral;Estado Civil;Nivel Educacional;Tiene Mora;Saldo Medio Anual;Tiene Crédito Hipotecario;Tiene Crédito de Consumo;Medio de Contacto Preferente;Contactos con su Ejecutivo;Tiene Inversiones
113;74;Jubilado;Casado;Técnico Profesional;No;355000;No;No;Fono Particular;0;No
114;70;Jubilado;Casado;Universitario;No;1610000;No;No;Celular;0;No
115;76;Jubilado;Casado;Enseñanza Media;No;2000;No;No;Fono Particular;0;No
116;75;Gerente;Casado;Universitario;No;6483000;No;No;Fono Particular;0;No
117;78;Jubilado;Casado;Universitario;No;1548000;No;No;Celular;0;No
118;72;Jubilado;Casado;Universitario;No;2994000;No;No;Celular;0;No
119;76;Jubilado;Casado;Universitario;No;2954000;No;No;Celular;0;No
120;76;Jubilado;Casado;Universitario;No;155000;No;No;Fono Particular;0;No
121;75;Jubilado;Casado;Universitario;No;462000;No;No;Celular;0;No
122;72;Jubilado;Casado;Enseñanza Media;No;87000;No;No;Fono Particular;0;No
123;71;Jubilado;Casado;Universitario;No;997000;No;No;Celular;1;Si
124;78;Trabajador Dependiente;Casado;Enseñanza Básica;No;0;No;No;Celular;1;No
125;73;Jubilado;Casado;Universitario;No;2354000;No;No;Fono Particular;2;Si
126;77;Jubilado;Casado;Universitario;No;1468000;No;No;Celular;3;No
127;76;Jubilado;Casado;Universitario;No;668000;No;No;Fono Particular;1;Si
128;73;Jubilado;Casado;Universitario;No;2354000;No;No;Fono Particular;3;No
129;76;Jubilado;Casado;Universitario;No;173000;No;No;Celular;0;No
130;72;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;12;Si
131;76;Jubilado;Divorciado;Universitario;No;631000;No;No;Fono Particular;3;No
132;77;Jubilado;Divorciado;Técnico Profesional;No;2628000;No;No;Fono Particular;2;No
133;71;Jubilado;Divorciado;Universitario;No;2787000;No;No;Fono Particular;1;Si
134;73;Jubilado;Casado;Universitario;No;4738000;No;No;Fono Particular;0;No
135;76;Jubilado;Divorciado;Universitario;No;631000;No;No;Fono Particular;1;No
136;75;Jubilado;Divorciado;Universitario;No;1910000;No;No;Fono Particular;0;No
137;71;Jubilado;Casado;Universitario;No;2661000;No;No;Celular;0;Si
138;71;Jubilado;Casado;Universitario;No;8304000;No;No;Celular;9;Si
139;76;Jubilado;Casado;Universitario;No;3025000;No;No;Celular;3;Si
140;77;Jubilado;Casado;Universitario;No;909000;No;No;Celular;1;No
141;74;Jubilado;Casado;Universitario;No;723000;No;No;Fono Particular;3;Si
142;70;Jubilado;Divorciado;Enseñanza Básica;No;79000;No;No;Celular;0;No
143;72;Jubilado;Casado;Universitario;No;2354000;No;No;Fono Particular;0;No
144;77;Trabajador Dependiente;Casado;Enseñanza Básica;No;0;No;No;Celular;0;No
145;74;Jubilado;Divorciado;Universitario;No;336000;No;No;Celular;1;No
146;70;Jubilado;Casado;Universitario;No;3481000;No;No;Fono Particular;0;No
147;72;Jubilado;Casado;Universitario;No;1058000;No;No;Fono Particular;0;No
148;75;Jubilado;Divorciado;Enseñanza Básica;No;20000;No;No;Celular;1;No
149;71;Jubilado;Casado;Universitario;No;8556000;No;No;Fono Particular;2;Si
150;74;Jubilado;Casado;Universitario;No;723000;No;No;Fono Particular;0;No
151;75;Jubilado;Casado;Universitario;No;668000;No;No;Fono Particular;0;Si
152;71;Jubilado;Casado;Universitario;No;429000;No;No;Fono Particular;0;Si
153;77;Jubilado;Casado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
154;76;Jubilado;Casado;Universitario;No;3025000;No;No;Fono Particular;6;No
155;71;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;0;Si
156;72;Trabajador Dependiente;Casado;Universitario;No;499000;No;No;Fono Particular;0;No
157;70;Jubilado;Casado;Universitario;No;8556000;No;No;Fono Particular;0;Si
158;70;Jubilado;Casado;Universitario;No;240000;No;No;Celular;0;No
159;68;Jubilado;Divorciado;Universitario;No;1016000;No;No;Celular;0;No
160;70;Jubilado;Divorciado;Universitario;No;2787000;No;No;Fono Particular;0;Si
161;75;Jubilado;Casado;Técnico Profesional;No;4807000;No;No;Fono Particular;4;Si
162;73;Jubilado;Divorciado;Universitario;No;1389000;No;No;Celular;0;Si
163;72;Jubilado;Casado;Técnico Profesional;No;3208000;No;No;Fono Particular;0;Si
164;72;Jubilado;Casado;Universitario;No;832000;No;No;Fono Particular;0;No
165;70;Jubilado;Divorciado;Universitario;No;3417000;No;No;Celular;1;Si
166;71;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;9;No
167;73;Jubilado;Divorciado;Universitario;No;4917000;No;No;Celular;0;No
168;68;Jubilado;Casado;Universitario;No;2735000;No;No;Fono Particular;0;No
169;71;Jubilado;Casado;Universitario;No;158000;No;No;Celular;0;No
170;73;Trabajador Dependiente;Casado;Universitario;No;2235000;No;No;Fono Particular;0;Si
171;76;Jubilado;Divorciado;Técnico Profesional;No;2628000;No;No;Fono Particular;0;No
172;69;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Celular;7;Si
173;74;Jubilado;Casado;Universitario;No;14204000;No;No;Celular;1;No
174;71;Jubilado;Divorciado;Universitario;No;527000;No;No;Celular;0;Si
175;75;Jubilado;Divorciado;Universitario;No;631000;No;No;Fono Particular;0;No
176;72;Jubilado;Casado;Universitario;No;220000;No;No;Celular;0;No
177;76;Jubilado;Divorciado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
178;72;Jubilado;Casado;Universitario;No;301000;No;No;Celular;0;No
179;75;Jubilado;Casado;Universitario;No;226000;No;No;Fono Particular;0;No
180;75;Jubilado;Divorciado;Enseñanza Básica;No;55000;No;No;Fono Particular;1;No
181;72;Jubilado;Divorciado;Universitario;No;229000;No;No;Fono Particular;0;No
182;75;Jubilado;Casado;Técnico Profesional;No;4807000;No;No;Fono Particular;0;Si
183;69;Jubilado;Casado;Universitario;No;1204000;No;No;Fono Particular;0;Si
184;70;Jubilado;Divorciado;Universitario;No;3219000;No;No;Celular;0;Si
185;74;Jubilado;Casado;Técnico Profesional;No;38000;No;No;Fono Particular;3;No
186;67;Jubilado;Casado;Universitario;No;4112000;No;No;Fono Particular;3;Si
187;75;Jubilado;Casado;Universitario;No;2223000;No;No;Fono Particular;1;No
188;68;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;20;Si
189;72;Jubilado;Casado;Universitario;No;1047000;No;No;Celular;0;No
190;70;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;7;No
191;68;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;15;No
192;67;Jubilado;Casado;Universitario;No;638000;No;No;Celular;1;Si
193;68;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;12;Si
194;69;Jubilado;Divorciado;Universitario;No;3417000;No;No;Celular;0;Si
195;68;Jubilado;Casado;Técnico Profesional;No;1807000;No;No;Fono Particular;0;Si
196;68;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Celular;3;Si
197;70;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;0;No
198;70;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;3;No
199;67;Jubilado;Casado;Universitario;No;989000;No;No;Fono Particular;0;No
200;71;Jubilado;Casado;Universitario;No;121000;No;No;Fono Particular;0;No
201;72;Jubilado;Soltero;Universitario;No;300000;No;No;Celular;0;No
202;75;Jubilado;Divorciado;Enseñanza Media;No;0;No;No;Celular;0;No
203;67;Jubilado;Casado;Universitario;No;638000;No;No;Celular;0;Si
204;75;Jubilado;Casado;Universitario;No;0;No;No;Celular;1;No
205;69;Jubilado;Casado;Universitario;No;699000;No;No;Celular;0;Si
206;68;Jubilado;Casado;Universitario;No;610000;No;No;Celular;0;No
207;75;Jubilado;Casado;Universitario;No;0;No;No;Celular;0;No
208;68;Jubilado;Casado;Universitario;No;1492000;No;No;Fono Particular;2;No
209;75;Jubilado;Casado;Universitario;No;0;No;No;Celular;0;No
210;67;Jubilado;Casado;Universitario;No;1385000;No;No;Fono Particular;0;No
211;74;Técnico;Casado;Técnico Profesional;No;397000;No;No;Fono Particular;3;No
212;73;Jubilado;Divorciado;Universitario;No;2693000;No;No;Celular;12;No
213;74;Jubilado;Casado;Universitario;No;820000;No;No;Fono Particular;4;Si
214;69;Jubilado;Divorciado;Universitario;No;4659000;No;No;Celular;0;Si
215;72;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;5;Si
216;74;Técnico;Casado;Técnico Profesional;No;397000;No;No;Fono Particular;0;Si
217;72;Gerente;Casado;Universitario;No;5619000;No;No;Celular;0;No
218;67;Jubilado;Casado;Universitario;No;7802000;No;No;Fono Particular;2;Si
219;68;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Celular;5;Si
220;73;Jubilado;Casado;Técnico Profesional;No;992000;No;No;Celular;2;No
221;73;Jubilado;Casado;Técnico Profesional;No;38000;No;No;Fono Particular;0;No
222;67;Jubilado;Casado;Universitario;No;2123000;No;No;Fono Particular;0;No
223;67;Jubilado;Casado;Universitario;No;7802000;No;No;Fono Particular;0;Si
224;67;Jubilado;Casado;Universitario;No;4112000;No;No;Fono Particular;2;Si
225;75;Jubilado;Divorciado;Universitario;No;639000;No;No;Fono Particular;0;No
226;68;Jubilado;Casado;Universitario;No;9601000;No;No;Fono Particular;0;Si
227;73;Jubilado;Casado;Universitario;No;1208000;No;No;Fono Particular;0;No
228;75;Jubilado;Casado;Universitario;No;29340000;No;No;Celular;2;Si
229;75;Jubilado;Casado;Universitario;No;0;No;No;Celular;0;No
230;73;Jubilado;Divorciado;Universitario;No;802000;No;No;Celular;5;Si
231;67;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Fono Particular;0;Si
232;67;Jubilado;Divorciado;Universitario;No;3049000;No;No;Celular;0;Si
233;71;Jubilado;Casado;Universitario;No;2991000;No;No;Celular;2;No
234;68;Jubilado;Casado;Universitario;No;852000;No;No;Fono Particular;0;No
235;74;Jubilado;Casado;Universitario;No;2223000;No;No;Fono Particular;0;Si
236;74;Jubilado;Casado;Técnico Profesional;No;8919000;No;No;Celular;0;No
237;72;Jubilado;Divorciado;Universitario;No;2693000;No;No;Celular;2;No
238;73;Jubilado;Casado;Universitario;No;820000;No;No;Fono Particular;0;Si
239;67;Trabajador Independiente;Casado;Técnico Profesional;No;4984000;No;No;Fono Particular;1;Si
240;67;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;0;No
241;67;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1411000;No;No;Fono Particular;0;Si
242;74;Jubilado;Casado;Universitario;No;0;No;No;Fono Particular;0;No
243;71;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;1;Si
244;69;Jubilado;Divorciado;Enseñanza Básica;No;86000;No;No;Celular;0;No
245;73;Jubilado;Casado;Universitario;No;163000;No;No;Fono Particular;0;No
246;67;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1411000;No;No;Fono Particular;3;Si
247;66;Jubilado;Casado;Universitario;No;242000;No;No;Fono Particular;0;No
248;73;Jubilado;Divorciado;Universitario;No;802000;No;No;Celular;0;Si
249;70;Jubilado;Casado;Universitario;No;2632000;No;No;Celular;0;No
250;71;Jubilado;Casado;Universitario;No;2991000;No;No;Celular;1;Si
251;66;Jubilado;Casado;Universitario;No;4112000;No;No;Fono Particular;0;Si
252;72;Jubilado;Casado;Técnico Profesional;No;992000;No;No;Celular;0;No
253;72;Jubilado;Divorciado;Universitario;No;2693000;No;No;Celular;0;Si
254;67;Jubilado;Casado;Universitario;No;1492000;No;No;Fono Particular;0;Si
255;67;Jubilado;Casado;Universitario;No;2302000;No;No;Fono Particular;0;No
256;71;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;3;Si
257;74;Jubilado;Casado;Universitario;No;0;No;No;Fono Particular;1;No
258;67;Jubilado;Casado;Universitario;No;2302000;No;No;Fono Particular;2;No
259;71;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;4;Si
260;67;Trabajador Independiente;Casado;Técnico Profesional;No;4984000;No;No;Fono Particular;2;No
261;67;Trabajador Dependiente;Casado;Enseñanza Básica;No;1483000;No;No;Celular;0;No
262;70;Jubilado;Casado;Universitario;No;291000;No;No;Celular;2;No
263;70;Jubilado;Casado;Universitario;No;3504000;No;No;Fono Particular;0;No
264;65;Jubilado;Casado;Universitario;No;962000;No;No;Celular;0;No
265;73;Jubilado;Casado;Universitario;No;468000;No;No;Fono Particular;0;No
266;68;Trabajador Dependiente;Casado;Universitario;No;6053000;No;No;Celular;1;No
267;70;Jubilado;Casado;Universitario;No;291000;No;No;Celular;1;No
268;66;Jubilado;Casado;Técnico Profesional;No;7819000;No;No;Celular;4;No
269;71;Jubilado;Divorciado;Universitario;No;37127000;No;No;Celular;0;No
270;70;Jubilado;Divorciado;Universitario;No;2199000;No;No;Fono Particular;0;No
271;73;Jubilado;Casado;Universitario;No;324000;No;No;Fono Particular;4;No
272;67;Jubilado;Casado;Universitario;No;6027000;No;No;Celular;2;Si
273;66;Trabajador Independiente;Casado;Técnico Profesional;No;4984000;No;No;Fono Particular;0;Si
274;73;Jubilado;Divorciado;Universitario;No;1341000;No;No;Celular;0;Si
275;72;Jubilado;Casado;Universitario;No;26452000;No;No;Fono Particular;0;No
276;72;Jubilado;Casado;Universitario;No;5491000;No;No;Fono Particular;0;No
277;69;Trabajador Dependiente;Casado;Universitario;No;643000;No;No;Celular;0;No
278;73;Jubilado;Casado;Universitario;No;3771000;No;No;Fono Particular;1;Si
279;68;Trabajador Dependiente;Casado;Universitario;No;6053000;No;No;Fono Particular;0;No
280;73;Jubilado;Casado;Universitario;No;2970000;No;No;Celular;0;Si
281;73;Jubilado;Casado;Universitario;No;1413000;No;No;Celular;2;Si
282;70;Jubilado;Divorciado;Universitario;No;3810000;Si;No;Celular;1;Si
283;70;Jubilado;Divorciado;Universitario;No;1092000;No;No;Fono Particular;2;No
284;66;Jubilado;Casado;Universitario;No;4912000;No;No;Fono Particular;5;No
285;73;Jubilado;Divorciado;Universitario;No;1926000;No;No;Celular;5;No
286;67;Jubilado;Divorciado;Universitario;No;852000;No;No;Celular;1;No
287;72;Jubilado;Casado;Universitario;No;1765000;No;No;Fono Particular;4;Si
288;72;Jubilado;Divorciado;Enseñanza Básica;No;46000;No;No;Celular;0;No
289;70;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;0;No
290;67;Jubilado;Divorciado;Enseñanza Media;No;105000;No;No;Celular;0;No
291;71;Jubilado;Divorciado;Universitario;No;3881000;Si;No;Celular;0;Si
292;66;Jubilado;Casado;Universitario;No;358000;No;No;Celular;0;No
293;70;Jubilado;Casado;Universitario;No;1470000;No;No;Fono Particular;0;No
294;73;Jubilado;Casado;Universitario;No;3771000;No;No;Fono Particular;2;Si
295;67;Jubilado;Casado;Universitario;No;6027000;No;No;Celular;4;Si
296;70;Jubilado;Casado;Universitario;No;2991000;No;No;Celular;0;Si
297;69;Trabajador Dependiente;Casado;Técnico Profesional;No;1093000;No;No;Celular;0;No
298;73;Jubilado;Divorciado;Enseñanza Básica;No;18000;No;No;Celular;0;No
299;72;Jubilado;Casado;Universitario;No;1765000;No;No;Fono Particular;2;No
300;67;Jubilado;Divorciado;Universitario;No;852000;No;No;Celular;0;No
301;65;Jubilado;Casado;Universitario;No;1843000;No;No;Celular;2;Si
302;68;Jubilado;Casado;Universitario;No;670000;No;No;Celular;0;Si
303;64;Trabajador Dependiente;Casado;Enseñanza Básica;No;161000;No;No;Fono Particular;0;No
304;72;Jubilado;Casado;Universitario;No;3771000;No;No;Fono Particular;0;No
305;69;Jubilado;Casado;Universitario;No;9480000;No;No;Celular;0;Si
306;69;Jubilado;Divorciado;Universitario;No;3810000;Si;No;Celular;0;No
307;64;Jubilado;Casado;Universitario;No;935000;No;No;Celular;2;Si
308;65;Jubilado;Casado;Universitario;No;4912000;No;No;Fono Particular;3;No
309;68;Jubilado;Casado;Universitario;No;5539000;No;No;Celular;1;No
310;71;Jubilado;Casado;Universitario;No;2575000;No;No;Celular;1;No
311;64;Jubilado;Casado;Universitario;No;935000;No;No;Celular;1;No
312;68;Jubilado;Casado;Universitario;No;1714000;No;No;Fono Particular;0;Si
313;69;Jubilado;Casado;Universitario;No;921000;No;No;Fono Particular;0;Si
314;66;Gerente;Casado;Universitario;No;4515000;No;No;Fono Particular;0;No
315;65;Jubilado;Casado;Universitario;No;1843000;No;No;Celular;3;Si
316;68;Jubilado;Divorciado;Universitario;No;2308000;No;No;Fono Particular;2;No
317;64;Jubilado;Casado;Universitario;No;935000;No;No;Celular;3;Si
318;70;Jubilado;Casado;Universitario;No;10253000;No;No;Fono Particular;0;No
319;66;Jubilado;Casado;Universitario;No;6027000;No;No;Celular;0;No
320;71;Jubilado;Casado;Universitario;No;20422000;No;No;Celular;0;No
321;72;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
322;69;Jubilado;Casado;Universitario;No;291000;No;No;Celular;0;No
323;68;Jubilado;Divorciado;Universitario;No;166000;No;No;Celular;0;No
324;65;Jubilado;Casado;Técnico Profesional;No;7819000;No;No;Celular;0;No
325;72;Jubilado;Casado;Universitario;No;279000;No;No;Fono Particular;0;No
326;70;Jubilado;Divorciado;Universitario;No;4079000;No;No;Celular;0;Si
327;71;Jubilado;Casado;Universitario;No;1765000;No;No;Fono Particular;0;Si
328;70;Jubilado;Casado;Universitario;No;4286000;No;No;Celular;0;No
329;64;Jubilado;Casado;Universitario;No;1124000;No;No;Fono Particular;0;No
330;72;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
331;67;Jubilado;Casado;Universitario;No;2894000;No;No;Fono Particular;2;No
332;67;Jubilado;Casado;Universitario;No;1742000;No;No;Celular;0;No
333;65;Jubilado;Casado;Universitario;No;4912000;No;No;Fono Particular;0;No
334;72;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Fono Particular;2;No
335;72;Jubilado;Casado;Universitario;No;1413000;No;No;Celular;0;Si
336;68;Jubilado;Casado;Universitario;No;5539000;No;No;Celular;3;No
337;71;Jubilado;Divorciado;Universitario;No;29080000;No;No;Celular;4;Si
338;69;Jubilado;Casado;Universitario;No;1388000;No;No;Celular;3;No
339;67;Jubilado;Casado;Universitario;No;508000;No;No;Celular;1;No
340;65;Jubilado;Casado;Técnico Profesional;No;519000;No;No;Fono Particular;2;Si
